ProfileID,ProfileID2,DateFavorited
A43686FA05B9706827AD2D71AC062D22BC20C352,F38C2741C973F0A909B346862661087AA9204369,2018-01-1607:48:49.737000000
A43686FA05B9706827AD2D71AC062D22BC20C352,59EEB2B05A9B9F06D0628F7D9C3EAF23276201DB,2018-01-1619:05:43.833000000
A43686FA05B9706827AD2D71AC062D22BC20C352,7140746EDF056F3DD1585956EA8C753FB0242824,2018-01-1607:56:07.107000000
A43686FA05B9706827AD2D71AC062D22BC20C352,7748C6B98266A3CFACF51519C822D725C0D207CC,2018-01-1607:53:20.843000000
A43686FA05B9706827AD2D71AC062D22BC20C352,DEFF8BBCF1AB4C9A078BBEDDE6E130CA1D2C588E,2018-01-1607:56:29.267000000
A43686FA05B9706827AD2D71AC062D22BC20C352,2090996DFD7E973DA3DAD698103F6AD82AB6EB3D,2018-01-1607:46:59.967000000
A43686FA05B9706827AD2D71AC062D22BC20C352,7D40F8EA1071D8CA564F10FB6716E5203D494254,2018-01-1619:03:48.110000000
A43686FA05B9706827AD2D71AC062D22BC20C352,065B702882E7BF8F9002FFB5A1255FAAE40ABB76,2018-01-1607:51:47.817000000
A43686FA05B9706827AD2D71AC062D22BC20C352,F59F7D9625B31750534283991BAD7287BADD552F,2018-01-1607:52:29.743000000
A43686FA05B9706827AD2D71AC062D22BC20C352,55D2C75B8079AE2E80169A6A361F37BAB903732A,2018-01-1619:05:01.903000000
A43686FA05B9706827AD2D71AC062D22BC20C352,E96147C1EDD036C3DEA1950B1737478AB03F874F,2018-01-1607:50:29.497000000
A43686FA05B9706827AD2D71AC062D22BC20C352,3FA6479F83307A87967A2B417E2AD75B7FC2D56B,2018-01-1607:50:15.747000000
A43686FA05B9706827AD2D71AC062D22BC20C352,A54E3B7F630EA528F05BF7B5CCEC9A420E869D68,2018-01-1607:50:01.823000000
A43686FA05B9706827AD2D71AC062D22BC20C352,5D6CE25BFF052EA2AA63A15DBACB175966BCFC5F,2018-01-1619:03:25.983000000
A43686FA05B9706827AD2D71AC062D22BC20C352,B95BEB2C8B3A157422781B58FBEB0569FBFB4A84,2018-10-3013:25:11.470000000
A43686FA05B9706827AD2D71AC062D22BC20C352,1B6B07D3C90CC20031F94ED5F7271E9B3397468E,2018-10-3013:27:53.443000000
A43686FA05B9706827AD2D71AC062D22BC20C352,20942D8BB3CD9E06F582B0E8311D638D8F8B1254,2018-10-3017:04:36.707000000
A43686FA05B9706827AD2D71AC062D22BC20C352,16FF193F84E1B50E63CEAE663A6C6B36A99C8CB9,2018-10-3013:24:51.813000000
A43686FA05B9706827AD2D71AC062D22BC20C352,DDE4AD1206CCEE27C189FCE510EA8F479C8A4EA1,2018-10-3013:21:44.010000000
A43686FA05B9706827AD2D71AC062D22BC20C352,9BA9DF3A9109191DC1FEB16CB43BF1F5ADEA7F2D,2018-10-3013:24:21.357000000
A43686FA05B9706827AD2D71AC062D22BC20C352,8FC5BC6256DBC5C63412041CF2013F6A8B763983,2018-10-3017:17:15.723000000
A43686FA05B9706827AD2D71AC062D22BC20C352,4258AF8291006264F2614E296540861CEF1A4594,2018-10-3017:01:35.503000000
A43686FA05B9706827AD2D71AC062D22BC20C352,6B92DAFE2C0FC0AD06B94A9B8C4B06240754A694,2018-10-3013:25:35.440000000
A43686FA05B9706827AD2D71AC062D22BC20C352,B9A8996FB1ABFFE116308DA127B5DAABEC41D9DA,2018-10-3013:23:24.880000000
A43686FA05B9706827AD2D71AC062D22BC20C352,F18176922230C4F032ABF2AA07FEB4165931DB63,2018-10-3013:20:17.620000000
A43686FA05B9706827AD2D71AC062D22BC20C352,BE7E20CD973E73E750572D82CE7CFDF56D2EB1AA,2018-10-3013:14:15.097000000
A43686FA05B9706827AD2D71AC062D22BC20C352,3E0267C6D151EE242DBC4D07560028A3D43D52B4,2018-10-3013:20:42.113000000
A43686FA05B9706827AD2D71AC062D22BC20C352,963589C713894177D9B127E5FE52321A00F87CAB,2018-10-3013:22:47
A43686FA05B9706827AD2D71AC062D22BC20C352,42093FE42B0E387B13CF813397B1431F35FDFBAE,2018-10-3013:19:40.257000000
A43686FA05B9706827AD2D71AC062D22BC20C352,F0B0C424B85E6CF89A03E915400E04F0BFCC50D4,2018-10-3017:02:56.883000000
A43686FA05B9706827AD2D71AC062D22BC20C352,A6F3E775A68DD5DB93E427BDA5C8405938BC53E3,2018-10-3017:07:13.873000000
A43686FA05B9706827AD2D71AC062D22BC20C352,6C1602B16641F906C30E393BE50DA27D821DB75A,2018-10-3013:27:22.817000000
A43686FA05B9706827AD2D71AC062D22BC20C352,907B0A9CB0FDFC107293ECF17AA052F4940CA64A,2018-10-3013:21:13.803000000
A43686FA05B9706827AD2D71AC062D22BC20C352,C746B7F3B0F3F4D378AC37CB68411353FE9F928B,2018-10-3017:02:23.693000000
AE4B9319E7E7FEAC3EF0BB1BCC7C5A766636CD98,0A85CB6C914CCCC11E430FE38D278D225D5CCE62,2018-02-2017:57:57.290000000
AE4B9319E7E7FEAC3EF0BB1BCC7C5A766636CD98,49039AB9A89F820F7B72355F5CF76AF4FDF6BA1E,2018-02-0307:55:28.293000000
AE4B9319E7E7FEAC3EF0BB1BCC7C5A766636CD98,40E7506251CCAEB2E1CCEE0B435252804C9F8FC5,2018-02-2107:12:29.193000000
AE4B9319E7E7FEAC3EF0BB1BCC7C5A766636CD98,560BC83209E0D8658C8E3A917C73233CD8E669AE,2018-02-0516:24:03.877000000
AE4B9319E7E7FEAC3EF0BB1BCC7C5A766636CD98,B9E94BD8AE4A5D1A894D9A22AA453CEEF14FD852,2018-01-3004:49:35.897000000
AE4B9319E7E7FEAC3EF0BB1BCC7C5A766636CD98,204D625333BCFF8CD8473FFF728EF41038B1D1D0,2018-01-2907:51:14.627000000
AE4B9319E7E7FEAC3EF0BB1BCC7C5A766636CD98,6E01A9B29B7AD3BB91A6093A6B0ED61171B3DD8D,2018-01-3004:49:23.253000000
AE4B9319E7E7FEAC3EF0BB1BCC7C5A766636CD98,5AF67961277DEC8653E1BE32F8B497019FB5D1A0,2018-02-2017:58:18.133000000
AE4B9319E7E7FEAC3EF0BB1BCC7C5A766636CD98,6F92DABE06C817386F53DD02D0BD6BADD0F4D3EC,2018-02-1916:20:54.237000000
AE4B9319E7E7FEAC3EF0BB1BCC7C5A766636CD98,A7C121C8777C9419C50604A237A6E5E4D939A53E,2018-02-2017:59:08.403000000
AE4B9319E7E7FEAC3EF0BB1BCC7C5A766636CD98,02CF9049C0BD6423849862404EDFCF04DBDACA93,2018-02-2210:26:03.053000000
AE4B9319E7E7FEAC3EF0BB1BCC7C5A766636CD98,80747D4435C9190EAAAB98537083C8E7DEB5390B,2018-02-2711:10:41.400000000
AE4B9319E7E7FEAC3EF0BB1BCC7C5A766636CD98,CF9175AEE07DF6EFB39722F6E73D11987D317A06,2018-03-1214:27:41.217000000
A36F4F62F7BE476500E2C98741AF00101B43198C,84DF53DCF05FA2E40475B82D74275A9C9F5A702D,2018-01-1813:21:18.490000000
A36F4F62F7BE476500E2C98741AF00101B43198C,A8470E472249872F6FC86F5FB9FEEBCA741652FD,2018-01-1813:20:46.847000000
A36F4F62F7BE476500E2C98741AF00101B43198C,3A55FB5B3BFEA1E5190C9E253EED42D7DA5E2991,2018-01-1813:27:12.317000000
A36F4F62F7BE476500E2C98741AF00101B43198C,AB5A1E0639E383D9EF0F4540C63586A7A607423D,2018-01-1813:19:37.030000000
A36F4F62F7BE476500E2C98741AF00101B43198C,45DD2332A98D8BBA6FFEFDA3C33CAD163A84B4BE,2018-01-1813:19:43.030000000
41B540066F8317C84E69AFD0D41117FB337F1C58,1B3FB1680295CF1AB1012E9A2ADF443D4E287513,2018-01-1610:00:20.190000000
A6598FB516FED4EB0592C49A7C3575685094AADC,2E1E9A8410B7DB141098767D85235EEA721E95CA,2018-01-1608:03:16.373000000
A6598FB516FED4EB0592C49A7C3575685094AADC,AC4C6B6D8316FBB0BAD95CF958D511BD90439098,2018-01-1607:46:27.857000000
A6598FB516FED4EB0592C49A7C3575685094AADC,7D314DDC91525B5E2779A7BEBCDF2ED15AE354C7,2018-01-1607:44:43.060000000
A6598FB516FED4EB0592C49A7C3575685094AADC,3416A6F78271208D31DFAAD0B37F937B18A295E3,2018-01-1607:45:22.283000000
A6598FB516FED4EB0592C49A7C3575685094AADC,8A9E70C213324F0C7D2B19F5E7111DB9D42B1692,2018-01-1608:03:33.880000000
A6598FB516FED4EB0592C49A7C3575685094AADC,64CE031A90BD5FF2732A33C67A58B5AD0208D9D2,2018-01-1607:47:59.150000000
A6598FB516FED4EB0592C49A7C3575685094AADC,48A6DC9D904730F0FB43C59C3E2821EEC661E431,2018-01-1608:02:57.413000000
864E7B4F47CF11E6A25372AAB334021AAE81A445,A77BE9FDC675901E5D01F116205253C8179C187C,2018-03-2711:14:39.243000000
864E7B4F47CF11E6A25372AAB334021AAE81A445,6FEBDDE77481D15583B71585571F5EDE9D4B4F15,2018-06-2506:42:55.863000000
864E7B4F47CF11E6A25372AAB334021AAE81A445,54C7D47C6094F406B543B52A648382DD2D14DE3F,2018-10-0902:57:19.780000000
E9E318EE7E88E84AB85A9D80765FFE46B8B90EB9,DA54B2A5C9DE9DE8957BC0E6BC9B099A23EFD75D,2018-01-1607:54:34.840000000
94109D05B383AF373517BC2FE8A6269F89A565E0,99A243992A4B06522B483EB73B3F4D76486FF865,2018-01-1608:49:38.330000000
94109D05B383AF373517BC2FE8A6269F89A565E0,BA279CE7C187A1E6166D8D943ACD0A40157824BB,2018-01-1608:53:45.050000000
94109D05B383AF373517BC2FE8A6269F89A565E0,A4877837F9146750E90BFB92A537C41A50CD23D4,2018-01-1609:15:14.997000000
94109D05B383AF373517BC2FE8A6269F89A565E0,B33E4429F926A59E2D3A8652770DDD05BC1F4C33,2018-01-1608:55:58.873000000
94109D05B383AF373517BC2FE8A6269F89A565E0,AED4575BFFDAB5D070ED235DE2A95754BFFFB8B7,2018-01-1608:50:59.880000000
D7448C69934B718B870C3A54C3BC498514559A16,2C23BEFE117E934790AE3278A3018A8B780E0CE5,2018-01-1616:52:02.307000000
D7448C69934B718B870C3A54C3BC498514559A16,48A6DC9D904730F0FB43C59C3E2821EEC661E431,2018-01-1616:52:55.937000000
